filename,RMSD_to_ref,cluster
05PaAT_ssDNA_model_0.cif,0.0,2
05PaAT_ssDNA_model_1.cif,0.3598681,0
05PaAT_ssDNA_model_10.cif,0.33713922,0
05PaAT_ssDNA_model_11.cif,0.3117184,0
05PaAT_ssDNA_model_12.cif,0.28365222,0
05PaAT_ssDNA_model_13.cif,0.39779645,0
05PaAT_ssDNA_model_14.cif,0.32374412,0
05PaAT_ssDNA_model_15.cif,0.2988852,0
05PaAT_ssDNA_model_16.cif,0.35479233,0
05PaAT_ssDNA_model_17.cif,0.59806055,1
05PaAT_ssDNA_model_18.cif,0.32550687,0
05PaAT_ssDNA_model_19.cif,0.26821893,0
05PaAT_ssDNA_model_2.cif,0.56206065,1
05PaAT_ssDNA_model_20.cif,0.22090726,0
05PaAT_ssDNA_model_21.cif,0.35124442,0
05PaAT_ssDNA_model_22.cif,0.29520676,0
05PaAT_ssDNA_model_23.cif,0.31696522,0
05PaAT_ssDNA_model_24.cif,0.43599537,0
05PaAT_ssDNA_model_25.cif,0.37926656,0
05PaAT_ssDNA_model_26.cif,0.51175314,1
05PaAT_ssDNA_model_27.cif,0.26796108,0
05PaAT_ssDNA_model_28.cif,0.28724805,0
05PaAT_ssDNA_model_29.cif,0.2345417,0
05PaAT_ssDNA_model_3.cif,0.55819976,1
05PaAT_ssDNA_model_4.cif,0.41624388,0
05PaAT_ssDNA_model_5.cif,0.34887385,0
05PaAT_ssDNA_model_6.cif,0.38764587,0
05PaAT_ssDNA_model_7.cif,0.33264962,0
05PaAT_ssDNA_model_8.cif,0.41205978,0
05PaAT_ssDNA_model_9.cif,0.2822484,0
